ID,Russian,English,Turkish
scaner.result_001,"Один из отпечатков не просканировался, у вас чистый палец?) Попробуйте еще раз)","One of the prints has not been scanned, you have a clean finger?) Try again)","Baskılardan biri taranmadı, temiz bir parmağınız var mı?) Tekrar deneyin)"
scaner.result_002,"У нас хорошая новость, вы не то что бы подходите по энергии и духу к друг другу, вы созданы чтобы творить внеземное!","We have good news, you won't come to the energy and spirit to each other, you are created to work extraterrestrial!","İyi haberlerimiz var, birbirimize enerjiye ve ruha gelmeyeceksiniz, dünya dışı işe yaramaya hazırsınız!"
scaner.result_003,У кого то не хватило сил или нам показалось?) Прикладывайте палец сильнее для повторного сканирования),Someone did not have enough strength or have it seemed?) Apply the finger stronger to re-scan),Birinin yeterli gücü yoktu ya da görünmedi mi?) Parmak'ı yeniden taramak için daha güçlü uygulayın)
scaner.result_004,"Ваша схожесть в отпечатках совершенно разная, 1 палец указывает на происхождение динозавра) Но вы чертовски похожи)","Your similarity in prints is completely different, 1 finger indicates the origin of the dinosaur) but you are damn similar)","Baskılardaki benzerliğiniz tamamen farklı, 1 parmak dinozorun kökenini gösterir) ama sen de benzersin)"
scaner.result_005,"100% результат весьма хороший , но ваша энергетика тянет на 35%, обними человека справа и пройдите заново)","100% the result is very good, but your energy is pulling 35%, both people on the right and go back)","% 100 Sonuç çok iyidir, ancak enerjiniz% 35'i, her iki insan da sağda ve geri dönüyor)"
scaner.result_006,Тест пройден успешно! Вы большие молодцы!,Test passed successfully! You are great done!,Test başarıyla geçti! Sen harikasın!
scaner.result_007,"Мы видели как вы отвечали в предыдущих тестах. На основе этого сканирования, у нас сгенерировался вопрос вы можете посмотреть 1 рекламу для поддержки нашего проекта?:)","We have seen how you were answered in previous tests. Based on this scan, we have generated a question. You can see 1 advertising to support our project? :)","Önceki testlerde nasıl cevaplandığınızı gördük. Bu taramaya dayanarak, bir soru oluşturduk. Projemizi desteklemek için 1 reklam görebilirsiniz? :)"
scaner.result_008,"Сканирование прошло успешно, ваша совместимость оценивается на 75%","Scanning has passed successfully, your compatibility is estimated at 75%","Tarama başarıyla geçti, uyumluluğunuz% 75'te tahmin ediliyor"
scaner.result_009,"Шалость удалась) Желаем вам как можно много улыбаться и да, ваша энергия совместима на 99%,1% всегда имеет погрешность)","Panity succeed) We wish you how much smile and yes, your energy is compatible by 99%, 1% always has an error)","Panity başarılı olur) Size ne kadar gülüş ve evet, enerjinizin% 99 ile uyumludur,% 1'inin her zaman bir hatası vardır)"
scaner.result_010,"Спасибо за сканирование ваших конечностей, протрите обязательно экран и переходите к новому режиму) Ваша совместимость 85%","Thanks for scanning your limbs, wipe the screen and go to the new mode) Your compatibility is 85%","Uzuvlarınızı taradığınız için, ekranı silin ve yeni moda gidin) Uyumluluğunuz% 85"